word	syllables
моргать	мор гать
морить	мо рить
моросить	мо ро сить
морочить	мо ро чить
мостить	мос тить
мотыжить	мо ты жить
мреть	мреть
мстить	мстить
мудреть	муд реть
мудрствовать	мудр ство вать
мужать	му жать
мужаться	му жать ся
мульчировать	муль чи ро вать
мумифицировать	му ми фи ци ро вать
мурлыкать	мур лы кать
мурчать	мур чать
мухлевать	мух ле вать
муштровать	муш тро вать
мчать	мчать
мшить	мшить
мызгать	мыз гать
мыкать	мы кать
мылить	мы лить
мышковать	мыш ко вать
мямлить	мям лить
мястись	мяс тись
набавить	на ба вить
набедокурить	на бе до ку рить
набежать	на бе жать
наблевать	на бле вать
наболеть	на бо леть
наболтать	на бол тать
набормотать	на бор мо тать
набросать	на бро сать
набросить	на бро сить
наброситься	на бро сить ся
набрызгать	на брыз гать
набрюзжать	на брюз жать
навалять	на ва лять
наварить	на ва рить
навернуть	на вер нуть
наверстать	на верс тать
навесить	на ве сить
навестить	на ве стить
навешать	на ве шать
навеять	на ве ять
нависнуть	на вис нуть
наводнить	на вод нить
наволочить	на во ло чить
наворовать	на во ро вать
наворотить	на во ро тить
наворошить	на во ро шить
наворчать	на вор чать
навострить	на вост рить
навощить	на во щить
наврать	на врать
навредить	на вре дить
навыдумать	на вы ду мать
нагадить	на га дить
наглеть	наг леть
наглотаться	наг ло тать ся
наглядеться	на гля деть ся
нагнать	наг нать
нагнести	на гнес ти
нагнуть	на гнуть
нагородить	на го ро дить
нагоститься	на гос тить ся
наградить	на гра дить
нагрести	на гре сти
нагреть	на греть
нагромоздить	на гро моз дить
нагрызть	на грызть
нагрянуть	на гря нуть
нагулять	на гу лять
нагуляться	на гу лять ся
надавать	на да вать
надвязать	над вя зать
надгрызть	над грызть
наддать	над дать
наделить	на де лить
надёргать	на дёр гать
надзирать	над зи рать
надклепать	над кле пать
надкусать	над ку сать
надкусить	над ку сить
надломать	над ло мать
надобиться	на до бить ся
надодрать	на до драть
надоить	на до ить
надорвать	на до рвать
надпечатать	над пе ча тать
надписать	над пи сать
надраить	на дра ить
надрать	на драть
надраться	на драть ся
надругаться	над ру гать ся
надсмехаться	над сме хать ся
надстрогать	над стро гать
надстроить	над стро ить
надубить	на ду бить
надуть	на дуть
надыбать	на ды бать
надымить	на ды мить
надышать	на ды шать
наездить	на ез дить
наесть	на есть
наехать	на е хать
нажать	на жать
нажеваться	на же вать ся
нажечься	на жечь ся
нажрать	на жрать
нажраться	на жрать ся
назреть	наз реть
назюзюкаться	на зю зю ка ться
наиграть	на иг рать
наиграться	на иг рать ся
наименовать	на и ме но вать
накаверзить	на ка вер зить
накадить	на ка дить
накакать	на ка кать
накапать	на ка пать
накаркать	на кар кать
накатать	на ка тать
накатить	на ка тить
накидать	на ки дать
накинуть	на ки нуть
накинуться	на ки нуть ся
накипеть	на ки петь
накласть	на класть
наклеваться	на кле вать ся
наклеить	на кле ить
накликать	на кли кать
наклонить	на кло нить
наклюкаться	на клю кать ся
наковать	на ко вать
наколупать	на ко лу пать
накомкать	на ком кать
накопать	на ко пать
накосить	на ко сить
накоситься	на ко сить ся
накрасить	на кра сить
накрасть	на красть
накричать	на кри чать
накроить	нак ро ить
накромсать	на кром сать
накропать	на кро пать
накуриться	на ку рить ся
накусать	на ку сать
налгать	нал гать
належаться	на ле жать ся
налезть	на лезть
налепить	на ле пить
налететь	на ле теть
налечь	на лечь
нализать	на ли зать
налиновать	на ли но вать
налипнуть	на лип нуть
налить	на лить
наловчиться	на лов чить ся
наломать	на ло мать
налузгать	на луз гать
налюбоваться	на лю бо вать ся
наляпать	на ля пать
намалевать	на ма ле вать
намарать	на ма рать
намахать	на ма хать
наменять	на ме нять
намешать	на ме шать
намитинговаться	на ми тин го вать ся
намокнуть	на мок нуть
намолчаться	на мол чать ся
намотать	на мо тать
нанюхать	на ню хать
наобещать	на о бе щать
наодеколонить	на о де ко ло нить
напахать	на па хать
напачкать	на пач кать
напаять	на па ять
напереть	на пе реть
наперчить	на пер чить
напилить	на пи лить
напихать	на пи хать
напичкать	на пич кать
наплавать	на пла вать
наплакать	на пла кать
наплакаться	на пла кать ся
напластать	на плас тать
наплевать	на пле вать
наплыть	на плыть
наплющить	на плю щить
наплясать	на пля сать
наподличать	на под ли чать
напоить	на по ить
наползти	на полз ти
напортачить	на пор та чить
напортить	на пор тить
напророчить	на про ро чить
напрудить	на пру дить
напрыгать	на пры гать
напрыскать	на прыс кать
напрятать	на пря тать
напугать	на пу гать
напудрить	на пуд рить
напустить	на пус тить
напутать	на пу тать
напхать	нап хать
наработать	на ра бо тать
нарадоваться	на ра до вать ся
нарассказать	на рас ска зать
нарваться	нар вать ся
наречь	на речь
народить	на род ить
нарожать	на ро жать
нарыть	на рыть
нарядить	на ря дить
насвинячить	на сви ня чить
насвистеть	на свис теть
насильничать	на силь ни чать
насказать	на ска зать
наскочить	на ско чить
наскрести	на скре сти
наскучать	на ску чать
наскучаться	на ску чать ся
наскучить	на ску чить
насладить	на сла дить
насластить	на сла стить
наслать	на слать
наследить	на сле дить
наследовать	на сле до вать
наслушаться	на слу ша ться
насмехаться	на сме хать ся
наснимать	на сни мать
наснять	на снять
насобачиться	на со ба чить ся
насолить	на со лить
насосать	на со сать
насочинять	на со чи нять
наспать	на спать
насрать	на срать
настегать	на сте гать
настелить	на сте лить
настирать	на сти рать
настрогать	на стро гать
настроить	на стро ить
настругать	на стру гать
настряпать	на стря пать
настукать	на сту кать
настучать	на сту чать
насчитать	на счи тать
насыпать	на сы пать
насытить	на сы тить
натаскать	на тас кать
натачать	на та чать
натворить	нат во рить
натереть	на те реть
наткать	на ткать
наткнуться	натк нуть ся
натолкать	на тол кать
натопать	на то пать
натоптать	на топ тать
натореть	на то реть
натрудить	на тру дить
натянуть	на тя нуть
наушничать	на уш ни чать
нафаршировать	на фар ши ро вать
нафилософствоваться	на фи ло соф ство вать ся
нафыркать	на фыр кать
нахамить	на ха мить
нахаркать	на хар кать
нахвастать	на хвас тать
нахватать	на хва тать
нахимичить	на хи ми чить
нахлестать	на хлес тать
нахлопать	на хло пать
нахмурить	на хму рить
нахолодать	на хо ло дать
нацарапать	на ца ра пать
начерпать	на чер пать
начертить	на чер тить
начиркать	на чир кать
начистить	на чис тить
начихать	на чи хать
начудить	на чу дить
нашагать	на ша гать
нашарить	на ша рить
нашаркать	на шар кать
нашить	на шить
нашлёпать	на шлё пать
нашмыгать	на шмы гать
наштопать	на што пать
нащёлкать	на щёл кать
нащупать	на щу пать
небрежничать	не бреж ни чать
небречь	не бречь
недобрать	не до брать
недовыработать	не до вы ра бо тать
недоглядеть	не до гля деть
недодать	не до дать
недоесть	не до есть
недожарить	не до жа рить
недолить	не до лить
недолюбливать	не до люб ли вать
недомогать	не до мо гать
недооценить	не до о це нить
недопечь	не до печь
недопить	не до пить
недопонять	не до по нять
недоработать	не до ра бо тать
недосказать	не до ска зать
недослать	не до слать
недослушать	не до слу шать
недослышать	не до слы шать
недосмотреть	не до смот реть
недоспать	не до спать
недосчитать	не до счи тать
недоумевать	не до у ме вать
недужить	не ду жить
нездоровиться	не здо ро ви ться
неистовствовать	не ис тов ство вать
нейти	ней ти
нейтрализовать	ней тра ли зо вать
неметь	не меть
низвергнуть	низ верг нуть
никелировать	ни ке ли ро вать
никнуть	ни кнуть
нищать	ни щать
нищенствовать	ни щен ство вать
нокаутировать	но ка у ти ро вать
нормировать	нор ми ро вать
норовить	но ро вить
ностальгировать	но сталь ги ро вать
нудить	ну дить
нукать	ну кать
нумеровать	ну ме ро вать
нюхнуть	нюх нуть
нянчить	нян чить
обагрить	о ба грить
обаять	о ба ять
оббежать	об бе жать
обвенчать	об вен чать
обветшать	об вет шать
обвешать	об ве шать
обворожить	об во ро жить
обгадить	об га дить
обглодать	об гло дать
обглядеть	об гля деть
обговорить	об го во рить
обгрызть	об грызть
обдать	об дать
обдёргать	об дёр гать
обдумать	об ду мать
обдурить	об ду рить
обдуть	об дуть
обеднеть	о бед неть
обезводить	о без во дить
обезвредить	о без вре дить
обезглавить	о без гла вить
обездолить	о без до лить
обезжирить	о без жи рить
обеззвучить	о без зву чить
обезножить	о без но жить
обезопасить	о без о па сить
обезуметь	о бе зу меть
обескуражить	о бес ку ра жить
обеспокоить	о бес по ко ить
обессилеть	о бес си леть
обессилить	о бес си лить
обессмертить	о бес смер тить
обесточить	о бес то чить
обесчестить	о бес чес тить
обжаловать	об жа ло вать
обжарить	об жа рить
обжать	об жать
обжить	об жить
обзавестись	об за вес тись
обкапать	об ка пать
обкатать	об ка тать
обкидать	об ки дать
обкорнать	об кор нать
обкосить	об ко сить
обкромсать	об кром сать
обкурить	об ку рить
облагодетельствовать	о бла го де тель ство вать
облагородить	об ла го ро дить
облазать	об ла зать
облапить	об ла пить
облапошить	об ла по шить
обласкать	об ла скать
облачить	об ла чить
облевать	о бле вать
облегчить	об лег чить
обледенеть	об ле де неть
облепить	об ле пить
облечь	об лечь
облизать	об ли зать
облипнуть	об лип нуть
облить	об лить
обличить	об ли чить
облупить	об лу пить
облюбовать	об лю бо вать
обляпать	об ля пать
обмакнуть	об мак нуть
обмарать	об ма рать
обматерить	об ма те рить
обматюгать	об ма тю гать
обмежевать	об ме же вать
обмелеть	об ме леть
обмельчать	об мель чать
обменять	об ме нять
обмолвить	об мол вить
обморозить	об мо ро зить
обмотать	об мо тать
обмызгать	об мыз гать
обнаглеть	об наг лѐть
обнадёжить	об на дё жить
обнародовать	об на ро до вать
обновить	об но вить
обобрать	о бо брать
обогатить	о бо га тить
обогнать	о бо гнать
обогнуть	о бо гнуть
обоготворить	о бо го тво рить
обогреть	о бо греть
ободрать	о бо драть
ободрить	о бо дрить
обождать	о бо ждать
обожрать	о бож рать
обожраться	о бо жра ться
обозвать	о бо звать
обознаться	о бо знать ся
обозначить	о бо зна чить
обозреть	о боз реть
оболгать	о бол гать
обольстить	о боль стить
оборзеть	о бор зеть
обосновать	о бос но вать
обпачкать	об пач кать
обработать	об ра бо тать
образовать	о бра зо вать
обрамить	об ра мить
обрасти	об рас ти
обременить	о бре ме нить
обремизить	о бре ми зить
обречь	об речь
обрисовать	об ри со вать
обрить	об рить
обругать	об ру гать
обрусеть	об ру сеть
обрушить	об ру шить
обрыднуть	о брыд нуть
обрызгать	о брыз гать
обрыть	об рыть
обрюзгнуть	о брюзг нуть
обрюхатеть	о брю ха теть
обрюхатить	об рю ха тить
обсечься	об сечь ся
обскакать	об ска кать
обсосать	об со сать
обсохнуть	об сох нуть
обстирать	об сти рать
обстричь	об стричь
обстрогать	об стро гать
обстряпать	об стря пать
обстукать	об сту кать
обстучать	об сту чать
обсчитать	об счи тать
обсчитаться	об счи тать ся
обтачать	об та чать
обтискать	об тис кать
обтоптать	об топ тать
обтяпать	об тя пать
обузить	о бу зить
обучить	об у чить
обхаркать	об хар кать
обхаять	об ха ять
обхлестать	об хлес тать
обхлопать	об хло пать
обхохотаться	об хо хо та ться
обцарапать	об ца ра пать
обшарить	об ша рить
обшаркать	об шар кать
обшарпать	об шар пать
обшастать	об шас тать
обшлёпать	об шлё пать
обшмыгать	об шмы гать
обштопать	об што пать
общёлкать	об щёл кать
общипать	об щи пать
объегорить	объ е го рить
объездить	объ ез дить
объесться	объ есть ся
объять	объ ять
обыграть	о быг рать
обындеветь	об ын де веть
обыскать	о быс кать
овдоветь	о вдо веть
оглодать	о гло дать
оглохнуть	ог лох нуть
оголодать	о го ло дать
огорошить	о го ро шить
огорчить	о гор чить
огрызнуться	о грыз нуть ся
огрызть	о грызть
одарить	о да рить
одеколонить	о де ко ло нить
оделить	о де лить
одичать	о ди чать
одолжить	о дол жить
одряхнуть	о дрях нуть
одухотворить	о ду хо тво рить
одушевить	о ду ше вить
оживить	о жи вить
ожиреть	о жи реть
озадачить	о за да чить
озвучить	о зву чить
оздоровить	о здо ро вить
озеленить	о зе ле нить
озирать	о зи рать
означить	оз на чить
озябнуть	о зяб нуть
окаймить	о кай мить
окаменеть	о ка ме неть
окапать	о ка пать
окать	о кать
окинуть	о ки нуть
окиснуть	о кис нуть
оклеветать	о кле ве тать
оклеить	о кле ить
окликнуть	о клик нуть
оковать	о ко вать
околдовать	о кол до вать
окопать	о ко пать
окосить	о ко сить
окостенеть	о кос те неть
окочуриться	о ко чу рить ся
окрасить	о кра сить
окрепнуть	ок реп нуть
окровавить	о кро ва вить
окромсать	о кром сать
окропить	о кро пить
округлить	о круг лить
окрылить	о кры лить
октроировать	ок тро и ро вать
окунуть	о ку нуть
окупить	о ку пить
окурить	о ку рить
окучить	о ку чить
оледенеть	о ле де неть
олицетворить	о ли це тво рить
омолодить	о мо ло дить
омять	о мять
онанировать	о на ни ро вать
онеметь	о не меть
опасть	о пасть
опередить	о пе ре дить
опереть	о пе реть
оперировать	о пе ри ро вать
опечатать	о пе ча тать
опешить	о пе шить
оплакать	о пла кать
оплошать	о пло шать
опоздать	о по здать
опозорить	о по зо рить
ополовинить	о по ло ви нить
опорожнить	о по рож нить
опорочить	о по ро чить
опосредствовать	о по сред ство вать
опочить	о по чить
опошлить	о пош лить
опредмечивать	о пред ме чи вать
оприходовать	о при хо до вать
опровергнуть	о про верг нуть
опрокинуть	оп ро ки нуть
опросить	о про сить
опростать	о прос тать
опрыскать	о прыс кать
опсоветь	оп со веть
оптимизировать	оп ти ми зи ро вать
опустошить	о пус то шить
опутать	о пу тать
оригинальничать	о ри ги наль ни чать
ороговеть	о ро го веть
оросить	о ро сить
орудовать	о ру до вать
осадить	о са дить
осведомить	ос ве до мить
осведомиться	о све до мить ся
освежевать	о све же вать
освежить	ос ве жить
осветлить	ос вет лить
освидетельствовать	ос ви де тельст во вать
освистать	о свис тать
освятить	ос вя тить
оседлать	о сед лать
осенить	о се нить
осесть	о сесть
осилить	о си лить
осиротить	о си ро тить
осиять	о си ять
осквернить	ос квер нить
осклабить	о скла бить
оскопить	о ско пить
оскудеть	ос ку деть
ослабнуть	о слаб нуть
ославить	ос ла вить
ослушать	о слу шать
ослушаться	ос лу ша ться
осмелиться	о сме лить ся
осмыслить	о смыс лить
оснастить	о снас тить
осоветь	о со веть
осознать	о со знать
оспорить	о спо рить
остеречь	ос те речь
остолбенеть	о стол бе неть
острогать	о стро гать
остудить	о сту дить
остыть	о стыть
осуществить	о су щест вить
осциллировать	о сцил ли ро вать
отблестеть	от блес теть
отважиться	от ва жить ся
отвалить	от ва лить
отварить	от ва рить
отведать	от ве дать
отверзть	от верзть
отвертеться	от вер те ться
отвесить	от ве сить
ответствовать	от вет ство вать
отвинтить	от вин тить
отворить	от во рить
отвратить	от вра тить
отвязать	от вя зать
отгадать	от га дать
отглодать	от гло дать
отговорить	от го во рить
отгреметь	от гре меть
отгромыхать	от гро мы хать
отгрохать	от гро хать
отгрызть	от грызть
отгрызться	от грызть ся
отгулять	от гу лять
отелить	о те лить
отжарить	от жа рить
отжечь	от жечь
отзвучать	от зву чать
откапать	от ка пать
откатать	от ка тать
откидать	от ки дать
откинуть	от ки нуть
откипеть	от ки петь
откланяться	от кла нять ся
отклеить	от кле ить
отклепать	от кле пать
откликнуться	от клик нуть ся
отклонить	от кло нить
отключить	от клю чить
отколоть	от ко лоть
отколупать	от ко лу пать
откопать	от ко пать
откосить	от ко сить
откромсать	от кром сать
открутить	от кру тить
отксерить	от ксе рить
откупорить	от ку по рить
откусать	от ку сать
откушать	от ку шать
отлаяться	от ла ять ся
отлежать	от ле жать
отлезть	от лезть
отлепить	от ле пить
отлететь	от ле теть
отлизать	от ли зать
отлипнуть	от лип нуть
отлить	от лить
отличить	от ли чить
отловить	от ло вить
отлучить	от лу чить
отлынивать	от лы ни вать
отляпать	от ля пать
отмазать	от ма зать
отмереть	от ме реть
отметелить	от ме те лить
отмолчаться	от мол чать ся
отмотать	от мо тать
отмочить	от мо чить
отобедать	от о бе дать
отогнать	о то гнать
отогреть	о то греть
отодрать	о то драть
отозвать	о тоз вать
отопить	о то пить
отоптать	о топ тать
оторочить	о то ро чить
отослать	о то слать
отоспать	о то спать
отощать	о то щать
отпарировать	от па ри ро вать
отпасть	от пасть
отпахать	от па хать
отпереть	от пе реть
отпеть	от петь
отпечатать	от пе ча тать
отпилить	от пи лить
отпить	от пить
отплавать	от пла вать
отплакать	от пла кать
отплатить	от пла тить
отплестись	от плес тись
отплыть	от плыть
отплясать	от пля сать
отполировать	от по ли ро вать
отполыхать	от по лы хать
отпраздновать	от празд но вать
отпрепарировать	от пре па ри ро вать
отпрыгать	от пры гать
отпрянуть	от пря нуть
отпугать	от пу гать
отпутать	от пу тать
отпыхтеть	от пых теть
отравить	от ра вить
отрастить	от рас тить
отрегулировать	от ре гу ли ро вать
отреставрировать	от ре ста ври ро вать
отречься	от речь ся
отрешить	от ре шить
отринуть	от ри нуть
отрисовать	от ри со вать
отругать	от ру гать
отругиваться	от ру ги вать ся
отсверкать	от свер кать
отсидеть	от си деть
отскакать	от ска кать
отслушать	от слу шать
отсмеиваться	от сме и вать ся
отснять	от снять
отсоединить	от со е ди нить
отстегать	от сте гать
отстегнуть	от стег нуть
отстирать	от сти рать
отстрадать	от стра дать
отстрогать	от стро гать
отстрочить	от стро чить
отстряпать	от стря пать
отстукать	от сту кать
отстучать	от сту чать
отсудить	от су дить
отсчитать	от счи тать
оттарабанить	от та ра ба нить
оттаскать	от тас кать
оттаять	от та ять
оттенить	от те нить
оттереть	от те реть
оттиснуть	от тис нуть
оттолкать	от тол кать
оттолкнуть	от толк нуть
оттопать	от то пать
оттоптать	от топ тать
оттопырить	от то пы рить
отторгнуть	от торг нуть
оттрубить	от тру бить
оттягать	от тя гать
оттяпать	от тя пать
отужинать	от у жи нать
отуманить	о ту ма нить
отформатировать	от фор ма ти ро вать
отхаркать	от хар кать
отхватить	от хва тить
отхлебнуть	от хлеб нуть
отхлестать	от хлес тать
отхлопать	от хло пать
отчебучить	от че бу чить
отчерпать	от чер пать
отчислить	от чис лить
отчитаться	от чи та ться
отчудить	от чу дить
отчуждать	от чуж дать
отшагать	от ша гать
отшлёпать	от шлё пать
отшуршать	от шур шать
отщёлкать	от щёл кать
отщепить	от ще пить
отъединить	отъ е ди нить
отъездить	отъ ез дить
отъесться	отъ есть ся
отъехать	отъ е хать
отыграть	о тыг рать
отыскать	от ыс кать
отэкзаменовать	от эк за ме но вать
отяготить	о тя го тить
отягчить	о тяг чить
отяжелить	о тя же лить
офонареть	о фо на реть
охарактеризовать	о ха рак те ри зо вать
охать	о хать
охаять	о ха ять
охватить	о хва тить
охладеть	ох ла деть
охладить	ох ла дить
охлестать	о хлес тать
охлопать	о хло пать
охолонуть	о хо ло нуть
охорашивать	о хо ра ши вать
охуждать	о хуж дать
оцарапать	о ца ра пать
оцепенеть	о це пе неть
оцинковать	о цин ко вать
оцифровать	о циф ро вать
очаровать	о ча ро вать
очернить	о чер нить
очертенеть	о чер те неть
очковать	оч ко вать
очуметь	о чу меть
очухаться	о чу хать ся
ошарашить	о ша ра шить
ошеломить	о ше ло мить
ошизеть	о ши зеть
ощупать	о щу пать
ояловеть	о я ло веть
паковать	па ко вать
пакостить	па ко стить
пальнуть	паль нуть
пальпировать	паль пи ро вать
памятовать	па мя то вать
паниковать	па ни ко вать
панировать	па ни ро вать
парадировать	па ра ди ро вать
паразитировать	па ра зи ти ро вать
парализовать	па ра ли зо вать
парафировать	па ра фи ро вать
парировать	па ри ро вать
пародировать	па ро ди ро вать
паскудить	пас ку дить
пастеризировать	па сте ри зи ро вать
пастеризовать	пас те ри зо вать
патентовать	па тен то вать
патинировать	па ти ни ро вать
паужинать	па у жи нать
паузить	па у зить
пачкать	пач кать
пеленать	пе ле нать
пеленговать	пе лен го вать
пенить	пе нить
переадминистрировать	пе ре ад ми ни стри ро вать
перебежать	пе ре бе жать
переболеть	пе ре бо леть
переболтать	пе ре бол тать
перебороть	пе ре бо роть
переборщить	пе ре бор щить
перебраниваться	пе ре бра ни вать ся
перебрать	пе ре брать
перебросать	пе ре бро сать
перебросить	пе ре бро сить
перебрызгать	пе ре брыз гать
перебыть	пе ре быть
переварить	пе ре ва рить
перевенчать	пе ре вен чать
переверстать	пе ре верс тать
перевесить	пе ре ве сить
перевеситься	пе ре ве сить ся
перевоплотить	пе ре во пло тить
переворочать	пе ре во ро чать
переврать	пе ре врать
перевыбрать	пе ре вы брать
перевязать	пе ре вя зать
перегасить	пе ре га сить
переглядеть	пе ре гля деть
переглянуться	пе ре гля нуть ся
перегнать	пе рег нать
переговорить	пе ре го во рить
перегореть	пе ре го реть
перегреть	пе ре греть
перегрызть	пе ре грызть
перегулять	пе ре гу лять
передёргать	пе ре дёр гать
передневать	пе ре дне вать
передрать	пе ре драть
передраться	пе ре драть ся
передуть	пе ре дуть
пережарить	пе ре жа рить
пережать	пе ре жать
переждать	пе ре ждать
пережевать	пе ре же вать
пережрать	пе ре жрать
перезагрузить	пе ре за гру зить
перезимовать	пе ре зи мо вать
переиграть	пе ре иг рать
переизбрать	пе ре из брать
переиздать	пе ре из дать
переиначить	пе ре и на чить
переиспытать	пе ре ис пы тать
перекапать	пе ре ка пать
перекатать	пе ре ка тать
перекидать	пе ре ки дать
переклепать	пе ре кле пать
перекликнуться	пе ре клик нуть ся
перековеркать	пе ре ко вер кать
перекодировать	пе ре ко ди ро вать
переколоть	пе ре ко лоть
перекомкать	пе ре ком кать
перекопать	пе ре ко пать
перекоряться	пе ре ко рять ся
перекосить	пе ре ко сить
перекричать	пе ре кри чать
перекромсать	пе ре кром сать
перекусать	пе ре ку сать
перекусить	пе ре ку сить
перекушать	пе ре ку шать
перелазать	пе ре ла зать
перелатать	пе ре ла тать
перелезть	пе ре лезть
перелепить	пе ре ле пить
перелететь	пе ре ле теть
перелизать	пе ре ли зать
перелистать	пе ре лис тать
перелить	пе ре лить
переложить	пе ре ло жить
переломать	пе ре ло мать
перемазать	пе ре ма зать
перемарать	пе ре ма рать
перемаргиваться	пе ре мар ги вать ся
перемахнуть	пе ре мах нуть
переместить	пе ре ме стить
перемешать	пе ре ме шать
перемигнуться	пе ре миг нуть ся
перемолоть	пе ре мо лоть
перемолчать	пе ре мол чать
перемотать	пе ре мо тать
перемыть	пе ре мыть
перенасытить	пе ре на сы тить
переночевать	пе ре но че вать
перенюхать	пе ре ню хать
перенять	пе ре нять
переоборудовать	пе ре о бо ру до вать
переобуть	пе ре о буть
переодеть	пе ре о деть
перепахать	пе ре па хать
перепачкать	пе ре пач кать
перепеленать	пе ре пе ле нать
перепечатать	пе ре пе ча тать
перепилить	пе ре пи лить
переписать	пе ре пи сать
перепихать	пе ре пи хать
переплыть	пе ре плыть
переплясать	пе ре пля сать
переполнить	пе ре пол нить
перепоручить	пе ре по ру чить
переправить	пе ре пра вить
перепродать	пе ре про дать
перепрыскать	пе ре прыс кать
перепрятать	пе ре пря тать
перепугать	пе ре пу гать
перепутать	пе ре пу тать
переработать	пе ре ра бо тать
перерасти	пе ре рас ти
перерисовать	пе ре ри со вать
переругать	пе ре ру гать
перерядить	пе ре ря дить
пересажать	пе ре са жать
пересдать	пе ре сдать
переседлать	пе ре сед лать
переселить	пе ре се лить
пересказать	пе ре ска зать
перескакать	пе ре ска кать
переслать	пе ре слать
переслушать	пе ре слу шать
переснять	пе ре снять
пересоздать	пе ре соз дать
пересолить	пе ре сол ить
пересосать	пе ре со сать
переспать	пе ре спать
переспорить	пе ре спо рить
переспросить	пе ре спро сить
переставить	пе ре ста вить
перестараться	пе ре ста рать ся
перестелить	пе ре сте лить
перестирать	пе ре сти рать
перестрадать	пе ре стра дать
перестрогать	пе ре стро гать
перестроить	пе ре стро ить
перестукать	пе ре сту кать
перестучать	пе ре сту чать
пересытить	пе ре сы тить
перетаскать	пе ре тас кать
перетасовать	пе ре та со вать
перетачать	пе ре та чать
перетереть	пе ре те реть
перетерять	пе ре те рять
перетискать	пе ре тис кать
переткать	пе ре ткать
перетолкать	пе ре тол кать
перетоптать	пе ре топ тать
перетрогать	пе ре тро гать
перетрухнуть	пе рет рух нуть
перетягать	пе ре тя гать
перетянуть	пе ре тя нуть
переусердствовать	пе ре у серд ство вать
перехватить	пе ре хва тить
перехворать	пе ре хво рать
перехлестать	пе ре хлес тать
перехлопать	пе ре хло пать
перецарапать	пе ре ца ра пать
перечёркать	пе ре чёр кать
перечерпать	пе ре чер пать
перечиркать	пе ре чир кать
перечислить	пе ре чис лить
перешагнуть	пе ре шаг нуть
перешнуровать	пе ре шну ро вать
перештопать	пе ре што пать
перещёлкать	пе ре щёл кать
перещупать	пе ре щу пать
перфорировать	пер фо ри ро вать
перчить	пер чить
першить	пер шить
песочить	пе со чить
пестрить	пест рить
петушиться	пе ту шить ся
печалить	пе ча лить
пикетировать	пи ке тир ов ать
пилить	пи лить
пилотировать	пи ло ти ро вать
пинать	пи нать
пихнуть	пих нуть
пичкать	пич кать
пищать	пи щать
плавить	пла вить
пластать	плас тать
платать	пла тать
пленить	пле нить
плесневеть	плес не веть
плоить	пло ить
плошать	пло шать
плутать	плу тать
плюсовать	плю со вать
плюхнуть	плюх нуть
плющить	плю щить
плясать	пля сать
пнуть	пнуть
побагроветь	по ба гро веть
побаиваться	по ба и вать ся
побаливать	по ба ли вать
побегать	по бе гать
побелить	по бе лить
побеспокоить	по бес по ко ить
побираться	по би рать ся
побледнеть	по блед неть
поблёкнуть	по блёк нуть
поблестеть	по блес теть
поблуждать	по блуж дать
поболеть	по бо леть
побормотать	по бор мо тать
побороть	по бо роть
побрататься	по бра та ться
побрать	по брать
побрезгать	по брез гать
побренчать	по брен чать
побрести	по брес ти
побрить	по брить
побросать	по бро сать
побрюзжать	по брюз жать
побурчать	по бур чать
побуянить	по бу я нить
побыть	по быть
поварить	по ва рить
поведать	по ве дать
повелеть	по ве леть
повеличать	по ве ли чать
повенчать	по вен чать
повергнуть	по верг нуть
поверстать	по верс тать
повечерять	по ве че рять
повзрослеть	по взрос леть
повидать	по ви дать
повиноваться	по ви но вать ся
повиснуть	по вис нуть
повить	по вить
поворочать	по во ро чать
поворчать	по вор чать
повстречать	пов стре чать
повыбежать	по вы бе жать
повыбить	по вы бить
повыдергать	по вы дер гать
повыдрать	по вы драть
повынимать	по вы ни мать
повыпадать	по вы па дать
повырастать	по вы рас тать
повырезать	по вы ре зать
